1,2,436
1,3,170
1,4,500
1,5,423
1,6,564
1,7,493
8,9,120
8,10,416
9,11,305
9,12,242
9,13,291
9,10,536
9,14,250
15,16,193
15,17,178
15,18,196
19,20,296
19,21,337
19,2,795
19,22,363
2,5,146
2,6,544
2,21,637
23,12,314
23,14,302
23,24,168
25,18,120
25,17,140
11,10,404
11,14,211
20,21,436
20,31,165
20,22,271
20,10,565
12,14,174
12,13,471
26,16,129
26,18,268
27,4,397
28,35,724
28,29,298
28,13,611
28,7,545
3,7,522
24,14,370
7,21,662
7,35,497
7,29,285
7,5,470
13,10,667
13,35,543
30,18,177
10,31,477
10,35,456
10,21,626
21,35,466
21,22,645
21,5,539
17,16,371
17,18,162
31,22,348
16,18,337
18,22,625
32,6,154
32,33,1398
34,22,511
4,6,262
33,6,1527
